web-scraper-order,web-scraper-start-url,more-button,professor link,professor link-href,Review-Body,Date,Course-Name,For-Credit,Attendance,Take-Again,Grade,Textbook,Quality,Difficulty,more-ratings
"1714778291-11","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.85 ratingsWoon YoonEngineeringUniversity of Washington100% would take again 3.4 level of difficulty","https://www.ratemyprofessors.com/professor/1981671","He is very clear with his expectations & his grading scale which is nice. However there always seems to be something on the exam that was barely covered or unexpected. A pretty harsh grader, docks you 10 pts for seemingly innocent mistakes. My advice is to visit him in office hours (very helpful there) a lot. Takes a while to get him but he's fun.","Mar 23rd, 2017","BME315","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: No","Quality3.0","4.0",""
"1714778291-12","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.85 ratingsWoon YoonEngineeringUniversity of Washington100% would take again 3.4 level of difficulty","https://www.ratemyprofessors.com/professor/1981671","I've had three classes with him 315: The class is poorly structured and exams don't correlate well with material, but its not entirely his fault because the ME program lacks some areas of knowledge which he tries to squeeze into this course 343: Difficult material and lectures but he does a solid job 223: Fantastic dynamics teacher","Jan 6th, 2017","BME343","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: Yes","Would Take Again: Yes","Helpful 0 0","Quality4.0","3.0",""
"1714778291-13","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.85 ratingsWoon YoonEngineeringUniversity of Washington100% would take again 3.4 level of difficulty","https://www.ratemyprofessors.com/professor/1981671","His grading can be rather harsh, but given the set up of the class you should be OK. We were given weekly quizzes (problems straight off of the HW) and those quizzes combined ended up equaling more than the one midterm he gave.   Do ample practice problems from the actual textbook and the optional textbook and you'll be just fine. Go to lecture.","Jun 14th, 2016","ME223","For Credit: Yes","Would Take Again: Yes","Textbook: Yes","Textbook: Yes","","Quality3.0","4.0",""
"1714778291-14","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.85 ratingsWoon YoonEngineeringUniversity of Washington100% would take again 3.4 level of difficulty","https://www.ratemyprofessors.com/professor/1981671","Hilarious due to the extreme disconnect between material instructed and major grading assignments.  Didn't really expect a 3d design, modelling, and analysis class to focus so much on design and modelling, yet grade so heavily on Technical Writing, and Linear Algebra.  A complete lack of textbook for the class also served little help.","Mar 24th, 2015","BME315","For Credit: Yes","Textbook: No","","","","Quality1.5","3.0",""
"1714778291-15","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.85 ratingsWoon YoonEngineeringUniversity of Washington100% would take again 3.4 level of difficulty","https://www.ratemyprofessors.com/professor/1981671","I like him as a person, but he has no idea what he is doing in class. I understand that the ME program is new, but this class as a whole is pointless. The class is called '3D modeling' but tests have nothing to do with actual modeling. The entire class was still working on the final at the end of the 2nd hour.","Mar 21st, 2015","BME315","For Credit: Yes","Textbook: No","","","","Quality2.5","3.0",""
"1714778311-16","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","THE BEST TEACHER I WILL definitely take this class again","Mar 6th, 2019","BBUS210","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778311-17","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Professor Oh seems like a great guy, but I have not enjoyed his class. It's very lecture heavy with limited/no slides, which can be really hard to follow. He frequently asks questions of the class where no one is clear what he's asking for -- after 5 or 6 attempts he'll finally tell us the ""answer"", which isn't what he asked for at all...","Feb 23rd, 2019","BBUS503","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","","Quality3.0","3.0",""
"1714778311-18","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","This is not at easy class. But Dr. Oh is a really good teacher. He is a very easy grader when it comes to homework, make sure you study hard on the midterm and final. Hes a really nice, laid back and funny guy. Only problem Ive had was he speaks with a REALLY thick Korean accent and sometimes it might be hard to understand what hes saying.","May 16th, 2018","BBUS210","Attendance: Mandatory","Would Take Again: Yes","Textbook: Yes","Textbook: Yes","Helpful 0 0","Quality4.0","4.0",""
"1714778311-19","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Professor Oh is a great teacher but hard to understand sometimes. I had never taken a business class before 210 and I enjoyed it. It did feel a little weird if you had questions about something and his response was along the lines of ""this is it, this is how you do it, how do you not understand?"" Posts almost everything from class online for review","Apr 25th, 2018","BBUS210","For Credit: Yes","Would Take Again: Yes","Grade: A-","Grade: A-","Helpful 0 0","Quality5.0","3.0",""
"1714778311-20","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Hyung is an awesome prof, his lectures are super engaging and funny. Even if you sit in the back, you will end up participating. The hw is graded literally on completion, and the exam questions are literally straight out of the hw. If you get the hw you'll ace the test. There is also extra credit on each exam worth 10%, extremely generous easy q's.","Mar 29th, 2018","BBUS210","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778311-21","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Dr. Oh is awesome. He is funny and tries his best to teach students that accounting is ""fun and useful"". The course consists of ten HW assignments and three exams (2 midterms, 1 final). The homework was graded very easily.. I only missed 1 point. The exams are straight-forward and questions come from homework/review q's. Extra credit on exams!","Mar 21st, 2018","BBUS210","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778311-22","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","This is a great class. Very short homework and there is always one question he throughly goes over in class. Huge chance that its going to be the same question on the test. Tests arent hard but for the final go over all the homework assignments because he might copy and paste a random question from those.","Mar 20th, 2018","BBUS210","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Helpful 1 0","Quality5.0","1.0",""
"1714778311-23","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","He gets right to the point. Probably one of the best professors ive had. His tests are short and does not take the full 2 hours, and there are extra credit questions on them to. Be aware, getting above a hundred percent only gives you a hundred percent (not 109). Homework is short. He sometimes teaches us stuff not relevant, but still interesting!","Feb 26th, 2018","BBUS210","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Helpful 3 0","Quality5.0","1.0",""
"1714778311-24","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Prof. Oh is an okay teacher. He tries to help us but his lecture is boring and he has a strong Korean accent. He stress that accounting is useful and fun to motivate us. He seems like developing his teaching skills yet but he still has some room to improve. I do not recommend his class. He is not horrible but not awesome.","Jun 2nd, 2017","BBUS210","For Credit: Yes","Would Take Again: No","Grade: A","Grade: A","Helpful 1 2","Quality1.0","3.0",""
"1714778311-25","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Amazing professor. Motivational quote, ""accounting is fun and exciting"". Final is a bit harsh but overall the class is very good.","Mar 20th, 2017","BBUS210","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778311-26","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","He has a thick Korean accent and can be hard to pay attention sometimes. I had to study extra at home and review so that I could fully understand all the stuff we learned in class.   He is very caring and his lectures are very slow. He tries to get student feedback, which doesn't alway work out but I recommend raising your hand for participation!","Feb 21st, 2017","BBUS210","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality3.0","1.0",""
"1714778311-27","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","I took Financial Accounting as an elective (didn't need it for my major). Would not recommend taking this class unless you really like accounting or it is required. Prof is funny & nice but sometimes his lectures are confusing and not enough examples. I would highly recommend reading the chapters prior to class so you have a basis of understanding.","Feb 15th, 2017","BBUS210","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality3.0","3.0",""
"1714778311-28","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Professor Oh makes you want to learn accounting by saying its useful and fun and he's pretty helpful and funny. I found this class to be alright, a little challenging. You either get it or you don't but you still have to put effort. Tests are straightforward and everything from lecture but lectures can be long and boring. Final was pretty tough.","Mar 24th, 2016","BBUS210","For Credit: Yes","Grade: B","Textbook: Yes","Textbook: Yes","","Quality3.0","3.0",""
"1714778311-29","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Professor Oh is a really funny guy! He really goes out of his way to teach his students  and providing funny examples too. He makes the class laugh and his tests / midterms are based off on assignments. As long as you do the assignment then you're fine. You do have to put in a bit of effort for this class. His accent is super sexy too!","Mar 3rd, 2016","BBUS210","For Credit: Yes","Attendance: Mandatory","Grade: B+","Grade: B+","","Quality5.0","3.0",""
"1714778311-30","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","He is such a great professor, uses any tactics he can to make sure students clearly understand the material. As long as you put in the effort, it's very easy to understand. Tests are all contrived of the homework he assigns which directly correlates to what he teaches that day.","Feb 12th, 2016","BBUS210","For Credit: Yes","Attendance: Mandatory","Textbook: Yes","Textbook: Yes","","Quality4.0","3.0",""
"1714778311-31","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","A great professor who cares and wants you to understand the basics rather than just memorize them. No reading required because everything on the test in from lecture. If you don't understand something he will explain it as many ways as he can and if you fail it really is because you didn't put any effort into the course. Gives extra credit too!","Dec 10th, 2015","BBUS210","For Credit: Yes","Grade: A+","Textbook: No","Textbook: No","","Quality4.5","1.0",""
"1714778311-32","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Best professor I have ever had! He is enthusiastic and helpful. Makes a lot of weird, but funny jokes. Homework will take a good amount of time to finish, but they are great study tools for exams. Exams are quite hard because he likes to push his students to be analytical.","Mar 27th, 2015","BBUS210","For Credit: Yes","Attendance: Not Mandatory","Grade: A+","Grade: A+","","Quality4.0","3.0",""
"1714778311-33","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","He is very enthusiastic about Accounting and the opportunities that stem from it. Good amount of homework. Tests are pretty hard. But if you go to class and do the homework you will get a good grade as he gives extra credit to mitigate the difficult tests.","Mar 22nd, 2015","BBUS210","For Credit: Yes","Attendance: Not Mandatory","Grade: A+","Grade: A+","","Quality4.0","3.0",""
"1714778311-34","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","Love love this professor! Must take!","Jan 17th, 2015","B210","For Credit: Yes","Textbook: Yes","","","","Quality5.0","1.0",""
"1714778311-35","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","He is amazing teacher!!!!! hope he will teach 211 tooo","Jan 12th, 2015","BBUS210","For Credit: Yes","Attendance: Mandatory","Grade: A+","Grade: A+","","Quality5.0","3.0",""
"1714778311-36","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","This was his first time teaching and i think he did great. He makes sure to clarify everything you don't understand and tries to have everyone in class up to pace. He sometimes speaks nonsense but it is hilarious. He is a lenient grader. His tests are short but worth a lot question. As long as you understand the HW from the book you will be okay.","Jan 7th, 2015","BBUS210","For Credit: Yes","Textbook: Yes","","","","Quality5.0","3.0",""
"1714778311-37","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","I think he is a great teacher. It was his first year teaching and he makes sure to have everyone up to pace. He clarifies everything you don't understand. Sometimes he speaks nonsense but it is hilarious. I think he uses time efficiently and the tests are short but worth a lot. As long as you understand the material from the HW then you are good.","Jan 7th, 2015","BBUS210","For Credit: Yes","Textbook: Yes","","","","Quality4.5","4.0",""
"1714778311-38","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.223 ratingsHyung OhAccountingUniversity of Washington84% would take again 2.6 level of difficulty","https://www.ratemyprofessors.com/professor/1971921","He is smart and if you keep attending you will be fine. Accounting is hard but Hyung is trying to give students as much help as they need. If you are taking accounting for the first time of your life, take his class.","Jan 2nd, 2015","BBUS210","For Credit: Yes","Textbook: Yes","","","","Quality5.0","3.0",""
"1714778318-39","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.32 ratingsMark HymanAccountingUniversity of WashingtonN/A would take again 4 level of difficulty","https://www.ratemyprofessors.com/professor/1971061","Lectures are long, boring, and hard to follow because they are dry and uninteresting. He is not very helpful, even on issues the entire class has. He uses the online platform for quizzes and homework. The homework is hard and the quizzes are impossible. His tests are very long and difficult. He does have a good schedule set up and will follow it.","Feb 22nd, 2016","BBUS211","For Credit: Yes","Attendance: Not Mandatory","Textbook: Yes","Textbook: Yes","","Quality1.5","4.0",""
"1714778318-40","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.32 ratingsMark HymanAccountingUniversity of WashingtonN/A would take again 4 level of difficulty","https://www.ratemyprofessors.com/professor/1971061","Great Teacher.  His lectures are clear.  He is helpful inout of class.  Tests are difficult and he is tough but fair grading them","Dec 29th, 2014","BBUS361","For Credit: Yes","Textbook: Yes","","","","Quality5.0","4.0",""
"1714778324-41","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.01 ratingsGregg TukeInternational StudiesUniversity of Washington0% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1970592","Tuke was an easy A. He's very flexible and relaxed. I didn't really learn anything new though, course felt a repetitive but I got my DCII credits out of the way.","Mar 28th, 2017","BCORE115","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: No","Would Take Again: No","Textbook: No","Quality2.0","2.0",""
"1714778337-42","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.82 ratingsVictoria VasquezHealth ScienceUniversity of Washington100% would take again 1.5 level of difficulty","https://www.ratemyprofessors.com/professor/1964594","She's super nice and her class was not at all stressful. I went into her office hours to talk to her and she was really understanding about everything that I was going through. She is very interactive with her students and we do a lot of fun activities in her class. I would definitely love to take another class with her again in the future.","May 15th, 2018","BHLTH222","For Credit: Yes","Would Take Again: Yes","Textbook: No","Textbook: No","Helpful 0 0","Quality5.0","1.0",""
"1714778337-43","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.82 ratingsVictoria VasquezHealth ScienceUniversity of Washington100% would take again 1.5 level of difficulty","https://www.ratemyprofessors.com/professor/1964594","She is a very helpful professor and she would take the time during her office hour and reteach any concepts you didn't understand. Her lectures are easy to understand and always provide examples for students to understand the topic.","Mar 15th, 2016","BHS201","For Credit: Yes","Attendance: Not Mandatory","Textbook: Yes","Textbook: Yes","","Quality4.5","2.0",""
"1714778343-44","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY5.01 ratingsSteven CollinsEngineering & MathematicsUniversity of Washington100% would take again 4 level of difficulty","https://www.ratemyprofessors.com/professor/1962876","He teaches the hardest classes in the engineering program and still makes it fun and engaging. One of the best professors I have ever had. He genuinely cares about your education and wants you to understand and enjoy his class. He gives a TON of examples and example problems. While there is a lot of homework it is necessary and will help on exams.","Aug 22nd, 2020","BME333","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","4.0",""
"1714778349-45","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.01 ratingsLi YuAccountingUniversity of Washington0% would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1962843","Just study by yourself, lecture is not really helpful at all.","Oct 31st, 2018","BBUS361","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Helpful 1 0","Quality3.0","3.0",""
"1714778356-46","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","Dr. McLoud is great, her lectures are comprehensive and clear enough that I hardly had to read the book (in a way, I actually preferred the lecture notes, because they developed the covered topics naturally).","Mar 2nd, 2016","STMATH403","For Credit: Yes","Grade: A+","Textbook: No","Textbook: No","","Quality5.0","3.0",""
"1714778356-47","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","She is brilliant and holds students to a high standard. Pure math classes require a high level of involvement in the material to succeed. She doesn't curve the way other rigorous teachers do. If you keep up with the material and fully understand it, you will do fine, which is easier said than done. Fall behind or miss details and you won't pass.","Dec 6th, 2015","STMATH402","For Credit: Yes","Attendance: Not Mandatory","Textbook: Yes","Textbook: Yes","","Quality4.5","5.0",""
"1714778356-48","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","Professor McLoud-Mann is very straightforward. There is no way you don't pass this class with a higher-than-average grade if you show up and do the homework. She gets straight to the point and does examples in class that are easy to understand. Has office hours as well. Exams test you on the bare basics of the material. Highly recommended.","Aug 26th, 2015","STMATH308","For Credit: Yes","Grade: A","Textbook: Yes","Textbook: Yes","","Quality4.0","2.0",""
"1714778356-49","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","This teacher will give you your money's worth. Truly convenient office hours. Direct teaching style with a minimum of fuss. Funny at times.","Jul 22nd, 2015","STMATH308","For Credit: Yes","Grade: Not sure yet","Textbook: Yes","Textbook: Yes","","Quality5.0","3.0",""
"1714778356-50","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","She is amazing! She would help you with the homework during the office hour, so go ask her if you are not sure about the hw. Tests are not hard if you do your work and go to class, but no cheat sheet and no curve. She will put notes online. DEFINITELY WOULD TAKE AGAIN!!!","Jun 14th, 2015","STMATH300","For Credit: Yes","Attendance: Not Mandatory","Grade: A","Grade: A","","Quality5.0","1.0",""
"1714778356-51","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","There is a short homework assignment due every class (twice per week), which I really liked. There are two midterms and a final. I recommend spending quality time on the homework, and go back and do every single assignment again to study for the exams. The material is difficult, but Dr. McLoud is great, and doesn't make it harder than necessary.","Jun 14th, 2015","STMATH300","For Credit: Yes","Grade: B-","Textbook: Yes","Textbook: Yes","","Quality3.5","3.0",""
"1714778356-52","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.67 ratingsJennifer McLoud-MannMathematicsUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1960749","When you take Professor McLoud, you get clear, to the point lectures which tend not to deviate from a lesson plan rooted firmly in topic material, providing handouts. She gives flexible office hours where she would give me intuitive explanations of parts I was hazy on. Professor McLoud is a first class instructor and a brilliant mathematician.","Dec 11th, 2014","MATH308","For Credit: Yes","Textbook: No","","","","Quality5.0","4.0",""
"1714778362-53","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.23 ratingsVICTORIA  BRECKWICHHealth ScienceUniversity of Washington100% would take again 4.3 level of difficulty","https://www.ratemyprofessors.com/professor/1959202","Taken for global health, super nice and respected professor. Group heavy but makes sense for the course work. Not too many assignments, and a larger final group project that is given class time to work on.","Feb 22nd, 2023","BHS210","For Credit: Yes","Would Take Again: Yes","","","Helpful 0 0","Quality4.0","1.0",""
