Review_Body,NaiveBayes_UWBR_predictions,NaiveBayes_UWBR_probabilities,roberta_UWBR_predictions,roberta_UWBR_probabilities,electra_UWBR_predictions,electra_UWBR_probabilities,skolkovo_UWBR_predictions,skolkovo_UWBR_probabilities,Date,Helper column,Quarter,Quarter Portion
"Professor Oh is a great teacher but hard to understand sometimes. I had never taken a business class before 210 and I enjoyed it. It did feel a little weird if you had questions about something and his response was along the lines of ""this is it, this is how you do it, how do you not understand?"" Posts almost everything from class online for review",0,0.992292518,0,0.538292468,0,0.498780608,0,0.993292212,4/25/2018,115,Spring,Midterm
"Hyung is an awesome prof, his lectures are super engaging and funny. Even if you sit in the back, you will end up participating. The hw is graded literally on completion, and the exam questions are literally straight out of the hw. If you get the hw you'll ace the test. There is also extra credit on each exam worth 10%, extremely generous easy q's.",0,0.988988115,0,0.538289428,0,0.500138879,0,0.992978275,3/29/2018,88,Spring,Quarter Beginning
"Dr. Oh is awesome. He is funny and tries his best to teach students that accounting is ""fun and useful"". The course consists of ten HW assignments and three exams (2 midterms, 1 final). The homework was graded very easily.. I only missed 1 point. The exams are straight-forward and questions come from homework/review q's. Extra credit on exams!",0,0.990316228,0,0.538292885,0,0.4998689,0,0.993059158,3/21/2018,80,Winter,Quarter End
This is a great class. Very short homework and there is always one question he throughly goes over in class. Huge chance that its going to be the same question on the test. Tests arent hard but for the final go over all the homework assignments because he might copy and paste a random question from those.,0,0.985627181,0,0.538291276,0,0.499714762,0,0.993332565,3/20/2018,79,Winter,Quarter End
"He gets right to the point. Probably one of the best professors ive had. His tests are short and does not take the full 2 hours, and there are extra credit questions on them to. Be aware, getting above a hundred percent only gives you a hundred percent (not 109). Homework is short. He sometimes teaches us stuff not relevant, but still interesting!",0,0.993357468,0,0.538292646,0,0.500377476,0,0.993293762,2/26/2018,57,Winter,Quarter End
Prof. Oh is an okay teacher. He tries to help us but his lecture is boring and he has a strong Korean accent. He stress that accounting is useful and fun to motivate us. He seems like developing his teaching skills yet but he still has some room to improve. I do not recommend his class. He is not horrible but not awesome.,0,0.983955089,0,0.538289845,0,0.502598166,0,0.986621499,6/2/2017,153,Spring,Quarter End
"Amazing professor. Motivational quote, ""accounting is fun and exciting"". Final is a bit harsh but overall the class is very good.",0,0.985065806,0,0.538291216,0,0.500650406,0,0.993088901,3/20/2017,79,Winter,Quarter End
"He has a thick Korean accent and can be hard to pay attention sometimes. I had to study extra at home and review so that I could fully understand all the stuff we learned in class.   He is very caring and his lectures are very slow. He tries to get student feedback, which doesn't alway work out but I recommend raising your hand for participation!",0,0.992438222,0,0.538291097,0,0.499784023,0,0.988088071,2/21/2017,52,Winter,Midterm
I took Financial Accounting as an elective (didn't need it for my major). Would not recommend taking this class unless you really like accounting or it is required. Prof is funny & nice but sometimes his lectures are confusing and not enough examples. I would highly recommend reading the chapters prior to class so you have a basis of understanding.,0,0.995368354,0,0.538290977,0,0.499556333,0,0.993484199,2/15/2017,46,Winter,Midterm
"Professor Oh makes you want to learn accounting by saying its useful and fun and he's pretty helpful and funny. I found this class to be alright, a little challenging. You either get it or you don't but you still have to put effort. Tests are straightforward and everything from lecture but lectures can be long and boring. Final was pretty tough.",0,0.989270834,0,0.538290322,0,0.499564081,0,0.993313611,3/24/2016,84,Spring,Quarter End
Professor Oh is a really funny guy! He really goes out of his way to teach his students  and providing funny examples too. He makes the class laugh and his tests / midterms are based off on assignments. As long as you do the assignment then you're fine. You do have to put in a bit of effort for this class. His accent is super sexy too!,0,0.985709626,0,0.538289666,0,0.50167048,1,0.974254191,3/3/2016,63,Winter,Quarter End
"He is such a great professor, uses any tactics he can to make sure students clearly understand the material. As long as you put in the effort, it's very easy to understand. Tests are all contrived of the homework he assigns which directly correlates to what he teaches that day.",0,0.98606449,0,0.538292587,0,0.49857837,0,0.993471622,2/12/2016,43,Winter,Midterm
A great professor who cares and wants you to understand the basics rather than just memorize them. No reading required because everything on the test in from lecture. If you don't understand something he will explain it as many ways as he can and if you fail it really is because you didn't put any effort into the course. Gives extra credit too!,0,0.990966275,0,0.538293362,0,0.498775035,0,0.993463039,12/10/2015,344,Autumn,Quarter End
"Best professor I have ever had! He is enthusiastic and helpful. Makes a lot of weird, but funny jokes. Homework will take a good amount of time to finish, but they are great study tools for exams. Exams are quite hard because he likes to push his students to be analytical.",0,0.987349128,0,0.53829056,0,0.500605822,0,0.990366817,3/27/2015,86,Spring,Quarter Beginning
He is very enthusiastic about Accounting and the opportunities that stem from it. Good amount of homework. Tests are pretty hard. But if you go to class and do the homework you will get a good grade as he gives extra credit to mitigate the difficult tests.,0,0.993522372,0,0.538291156,0,0.499497563,0,0.993434906,3/22/2015,81,Winter,Quarter End
Love love this professor! Must take!,1,0.94636528,0,0.538289428,0,0.501528502,0,0.992969334,1/17/2015,17,Winter,Quarter Beginning
He is amazing teacher!!!!! hope he will teach 211 tooo,1,0.914862677,0,0.538292289,0,0.500868261,0,0.988326252,1/12/2015,12,Winter,Quarter Beginning
This was his first time teaching and i think he did great. He makes sure to clarify everything you don't understand and tries to have everyone in class up to pace. He sometimes speaks nonsense but it is hilarious. He is a lenient grader. His tests are short but worth a lot question. As long as you understand the HW from the book you will be okay.,0,0.984034009,0,0.538290322,0,0.521600842,1,0.94561398,1/7/2015,7,Winter,Quarter Beginning
I think he is a great teacher. It was his first year teaching and he makes sure to have everyone up to pace. He clarifies everything you don't understand. Sometimes he speaks nonsense but it is hilarious. I think he uses time efficiently and the tests are short but worth a lot. As long as you understand the material from the HW then you are good.,0,0.987029788,0,0.538291514,0,0.511166334,0,0.98051399,1/7/2015,7,Winter,Quarter Beginning
"He is smart and if you keep attending you will be fine. Accounting is hard but Hyung is trying to give students as much help as they need. If you are taking accounting for the first time of your life, take his class.",0,0.984394657,0,0.538290143,0,0.499513388,0,0.993289411,1/2/2015,2,Autumn,Quarter End
"Lectures are long, boring, and hard to follow because they are dry and uninteresting. He is not very helpful, even on issues the entire class has. He uses the online platform for quizzes and homework. The homework is hard and the quizzes are impossible. His tests are very long and difficult. He does have a good schedule set up and will follow it.",1,0.970353891,0,0.538290977,0,0.507417381,0,0.989523947,2/22/2016,53,Winter,Quarter End
Great Teacher.  His lectures are clear.  He is helpful inout of class.  Tests are difficult and he is tough but fair grading them,0,0.985082416,0,0.538293719,0,0.501315892,0,0.993180752,12/29/2014,363,Autumn,Quarter End
"Tuke was an easy A. He's very flexible and relaxed. I didn't really learn anything new though, course felt a repetitive but I got my DCII credits out of the way.",0,0.987456523,0,0.538290799,0,0.500016928,0,0.992911994,3/28/2017,87,Spring,Quarter Beginning
She's super nice and her class was not at all stressful. I went into her office hours to talk to her and she was really understanding about everything that I was going through. She is very interactive with her students and we do a lot of fun activities in her class. I would definitely love to take another class with her again in the future.,0,0.985727705,0,0.538289666,0,0.499343544,0,0.992992282,5/15/2018,135,Spring,Midterm
She is a very helpful professor and she would take the time during her office hour and reteach any concepts you didn't understand. Her lectures are easy to understand and always provide examples for students to understand the topic.,0,0.9769103,0,0.53829056,0,0.498994827,0,0.993342102,3/15/2016,75,Winter,Quarter End
He teaches the hardest classes in the engineering program and still makes it fun and engaging. One of the best professors I have ever had. He genuinely cares about your education and wants you to understand and enjoy his class. He gives a TON of examples and example problems. While there is a lot of homework it is necessary and will help on exams.,0,0.99131943,0,0.538290799,0,0.498845041,0,0.993437588,8/22/2020,235,Summer,Quarter End
"Just study by yourself, lecture is not really helpful at all.",1,0.964761713,0,0.538290977,0,0.499742448,0,0.991507113,10/31/2018,304,Autumn,Quarter Beginning
"Dr. McLoud is great, her lectures are comprehensive and clear enough that I hardly had to read the book (in a way, I actually preferred the lecture notes, because they developed the covered topics naturally).",0,0.983632932,0,0.538298309,0,0.500155091,0,0.992800355,3/2/2016,62,Winter,Quarter End
"She is brilliant and holds students to a high standard. Pure math classes require a high level of involvement in the material to succeed. She doesn't curve the way other rigorous teachers do. If you keep up with the material and fully understand it, you will do fine, which is easier said than done. Fall behind or miss details and you won't pass.",0,0.996489813,0,0.538291037,0,0.50108844,0,0.992654204,12/6/2015,340,Autumn,Quarter End
Professor McLoud-Mann is very straightforward. There is no way you don't pass this class with a higher-than-average grade if you show up and do the homework. She gets straight to the point and does examples in class that are easy to understand. Has office hours as well. Exams test you on the bare basics of the material. Highly recommended.,0,0.989860824,0,0.538289666,0,0.500877917,0,0.993407249,8/26/2015,238,Summer,Quarter End
This teacher will give you your money's worth. Truly convenient office hours. Direct teaching style with a minimum of fuss. Funny at times.,0,0.985857118,0,0.538290262,0,0.501031637,0,0.993160367,7/22/2015,203,Summer,Midterm
"She is amazing! She would help you with the homework during the office hour, so go ask her if you are not sure about the hw. Tests are not hard if you do your work and go to class, but no cheat sheet and no curve. She will put notes online. DEFINITELY WOULD TAKE AGAIN!!!",0,0.987166086,0,0.538289428,0,0.501847804,0,0.992797554,6/14/2015,165,Spring,Quarter End
"There is a short homework assignment due every class (twice per week), which I really liked. There are two midterms and a final. I recommend spending quality time on the homework, and go back and do every single assignment again to study for the exams. The material is difficult, but Dr. McLoud is great, and doesn't make it harder than necessary.",0,0.992893197,0,0.538291872,0,0.50070715,0,0.993329167,6/14/2015,165,Spring,Quarter End
"When you take Professor McLoud, you get clear, to the point lectures which tend not to deviate from a lesson plan rooted firmly in topic material, providing handouts. She gives flexible office hours where she would give me intuitive explanations of parts I was hazy on. Professor McLoud is a first class instructor and a brilliant mathematician.",0,0.977732833,0,0.538291454,0,0.499355793,0,0.993189216,12/11/2014,345,Autumn,Quarter End
"Taken for global health, super nice and respected professor. Group heavy but makes sense for the course work. Not too many assignments, and a larger final group project that is given class time to work on.",0,0.993872308,0,0.538291335,0,0.498886794,0,0.993277848,2/22/2023,53,Winter,Quarter End
"Prof. Vicky is amazing! I'm not sure why she doesn't have 5/5. She's fair, knowledgeable, and very caring.",1,0.966790884,0,0.53829062,0,0.500226378,0,0.99258244,6/3/2022,154,Spring,Quarter End
"Vicky is very passionate & extremely knowledgeable. This class truly made me think outside of my comfort zone and made me passionate about the class material. She likes to pinpoint people on the spot, but not in a malicious way, she just wants people to think outside the box. Quizzes & homework really aren't that bad as long as you're participating",1,0.969852557,0,0.538290977,0,0.499446422,0,0.993183672,3/11/2016,71,Winter,Quarter End
"Nice intelligent lady, poor teaching. Interesting class, not the right teacher for it. Very confusing and unorganized. Test was not comparable with the lecture.",0,0.981478511,0,0.538291514,0,0.500675619,1,0.978326559,12/10/2014,344,Autumn,Quarter End
"Nice intelligent lady, poor teacher. Interesting class, not the right teacher for it. Very confusing and unorganized. Test was not comparable with the lecture.",0,0.978842482,0,0.538291335,0,0.500821948,1,0.958382189,12/10/2014,344,Autumn,Quarter End
She has extremely high and unrealistic expectations for an introductory class. So much of what she demands is really unnecessary and poorly planned. Class time is wasted doing tasks with the expectation that projects be completed outside of class with minimal time due to poor time schedules for the media lab.,0,0.992989687,0,0.538290441,0,0.501514375,0,0.992955148,4/15/2019,105,Spring,Quarter Beginning
Very tough grader. Stay away.,1,0.913952673,0,0.538287878,0,0.506554544,1,0.962290525,3/26/2019,85,Spring,Quarter Beginning
"She is an amazing professor. I know nothing about technology but the way she teaches the course is clear and relatable. She is also very understanding and cares about her students. Homework amount is reasonable and if you come to class, participate and do the homework you will pass. She's An overall great professor.",0,0.988838668,0,0.538290739,0,0.500348747,0,0.993298709,5/3/2018,123,Spring,Midterm
"Even though she is clear about how the assignments will be graded, she is way too tough on an introductory class. We meet once a week and it can be confusing at times, but overall, I enjoy the class.",0,0.987378985,0,0.538291216,0,0.4990969,0,0.993217051,6/13/2017,164,Spring,Quarter End
Give clear guidelines about the assignments and expectations on the assignments. You may not want to disagree with her or the grade drop. The whole school is expecting you to have a blindly obedience mode there.,0,0.988896946,0,0.538290501,0,0.49977991,0,0.992908716,1/9/2024,9,Winter,Quarter Beginning
"Dr. Shimabukuro is a great lecturer and I learned a lot about language in society. The workload was insane, with ~100 pages of reading a week, but I feel like reading everything closely made me a better reader and writer. The final project is cool and she is always willing to help you with anything.",0,0.979794141,0,0.538290441,0,0.498474866,0,0.992831826,6/20/2023,171,Summer,Quarter Beginning
"Professor Shimabukuro is okay, she's very specific and organized in her course work which I like but it's a little annoying how every week she has the class reading an average of 3 articles and journals with at least 27-30 pages long.The class isn't that difficult but she sure demands at least 2 courses worth of work. so prepare to get reading",0,0.99107414,0,0.538294315,0,0.498694211,0,0.99289459,10/14/2022,287,Autumn,Quarter Beginning
This was the worst class I've ever taken. Every single other person I've talked to who was in the class also hated it. Please please PLEASE take a different IPR course if possible.,1,0.932638611,0,0.538288891,0,0.504164636,1,0.969039083,6/21/2022,172,Summer,Quarter Beginning
"The class was pretty easy. She is an easy grade. She is very clear about what she wants in her assignments. The readings were kind of hard so make sure you gifs yourself enough time for the reading assignments, don’t do then last minute.",1,0.968363125,0,0.538291097,0,0.500217795,0,0.99276042,3/25/2022,84,Spring,Quarter End
"Amazing prof. Clear and organized class structure. She's extremely helpful & encouraging. You'll learn so much in her class, by the end of it people even wanted her to lecture more. Readings are actually very interesting. Really values feedback from her students & really makes sure you understand the topics. Easy tests and offers extra credit.",0,0.996127882,0,0.538290262,0,0.498642802,0,0.993303955,4/30/2020,121,Spring,Midterm
"Dr. Shimabukuro is an excellent professor. She is very clear about assignments, she never wastes time with anything useless, but there is one downside: she throws around lots of graded PollEverywhere and Canvas quizzes and makes you do intense work every weekend. That being said, she values all the effort students make and gives great support.",1,0.963107426,0,0.538289785,0,0.507500648,0,0.992002368,11/25/2019,329,Autumn,Midterm
"If you can't come to class or you're late, no matter how reasonable it is, she docks you lots of points. Attendance is a grade. She'll help you develop your writing skills a lot, and her grading criteria is super broad so you get a lot of freedom. The DC part of her BCORE class she teaches gets kind of lost in the BWRIT134 part.",0,0.99179868,0,0.53829205,0,0.501087725,0,0.993344426,12/7/2016,342,Autumn,Quarter End
"She's pretty nice, but she makes you write a lot. When you are in her class it feels like a writing class and not like the DC I didn't like how she makes you write about the community contributions and I didn't like those big assignments she gave us before the end of the quarter. And she's a little strict on grading.",0,0.987364539,0,0.538290322,0,0.498813719,0,0.993300557,12/4/2014,338,Autumn,Quarter End
"Lots of reading and writing to do, especially writing assignment. She has Weekly Write Up assignment, which means u have to read all the articles It's tough for me. The lecture is about history of Japanese American during WWII and redressing the political wrong memory. She is a new professor and has lots of final projects.",0,0.98854609,0,0.538291574,0,0.498794138,0,0.99303633,11/24/2014,328,Autumn,Midterm
"Lectures are a bit confusing, however, the book is completely useless.",1,0.934461067,0,0.538292527,1,0.607828915,1,0.84986043,12/12/2014,346,Autumn,Quarter End
"When I found out she was the dean I thought she would be really strict, but she's actually really nice. Tests are pretty fair; fewer hw problems later in the quarter; the only annoying thing was the ethics paper, but even that was only 1000 words.",0,0.98904869,0,0.538291156,0,0.499904901,0,0.992089748,12/11/2014,345,Autumn,Quarter End
"She's really nice, and if you ask her a question she'll help you out a lot. But her initial lectures are useless. Thermo can't really be taught using powerpoints. I ended up teaching myself since the book is crap. We ended up doing hw problem in class, which is nice, because she helped with solving them. Tests are easy.",1,0.947984018,0,0.538297474,1,0.645935476,1,0.900746584,11/11/2014,315,Autumn,Quarter Beginning
"I had never taken a drama class before, and I wasn't sure what to expect. But I LOVED every minute of it! Deborah is a fantastic professor! If you're on here trying to decide whether or not you should take her class for B CORE, or anything else, definitely do it!",0,0.985506366,0,0.538290262,0,0.498711824,0,0.993081629,10/4/2016,278,Autumn,Quarter Beginning
"Imagine the nicest jewish girl you've met in your life. She's that girl. Her class involves so many acting (she's a drama geek). All her assignments build up but easy af.  If you get anything below an A-, you should drop out and work for McDanks. Completion based works (most), plenty of feedback, TAKE HER CLASS. Go to classes for participation pts.",0,0.990521814,0,0.538289249,0,0.51844871,0,0.985735238,12/14/2015,348,Autumn,Quarter End
"She is an AMAZING professor !  Everyone in the class, including myself, LOVES HER! Deborah is an exceptional actress and is super  hilarious.  I wish I could re-take this class.  She has definitely helped my transition into college a great experience.",0,0.977324513,0,0.538287938,0,0.498674333,0,0.991593599,11/20/2015,324,Autumn,Midterm
You won't regret taking her class. She is easy and understands her students very well.,1,0.970937316,0,0.538288355,0,0.500450253,0,0.993137717,3/24/2015,83,Winter,Quarter End
"If you are deciding whether or not you want to take a class of Deborah's... TAKE IT! You will not regret it, her classes are awesome. She is a fun professor.",0,0.980926651,0,0.538288951,0,0.499148399,0,0.993125319,3/23/2015,82,Winter,Quarter End
"Deborah is the best teacher! I love being in her class, she's always so bubbly. She's always there for all her students, and is really friendly. I am so glad I took her class this quarter.. Actually really glad. I learned a lot from being in her class, and it made me personally grow as a student. She is 100% awesome :)",0,0.985759666,0,0.538288236,0,0.500474751,0,0.992593586,11/17/2014,321,Autumn,Midterm
"Take her! She is one of the best lab instructors I have ever taken. I'm not sure if she gives out 4.0s though, I got ~3.6 for both quarters. She might seem hard at first, but if you organize your lab and make it easy for her, she will make it easy for you. HIGHLY RECOMMEND!",0,0.980068977,0,0.538287938,0,0.500162005,0,0.991658032,8/6/2014,218,Summer,Midterm
Look here,1,0.925744216,0,0.538297951,0,0.499173105,0,0.992643178,11/6/2019,310,Autumn,Quarter Beginning
Don't mess up ohm's law in this class! Circuitry made so much sense after taking Choi. Works examples on the board. I wish I'd taken him for 215. Good lecturer. He'll keep you awake. Don't let the red ink on your test scare you. Tests are from lectures and HW. Be prepared to use load lines and graphical analysis for circuit problems.,1,0.954209623,0,0.538289309,0,0.499036014,0,0.99225837,6/7/2019,158,Spring,Quarter End
He is very knowledgeable about his subject. Easy to approach and good with providing answers to student questions. This class is good to take prior to capstone.,0,0.9901082,0,0.538291216,0,0.499689162,0,0.993371367,12/15/2016,350,Autumn,Quarter End
Good class to take prior to starting your Capstone,1,0.968085325,0,0.538294792,0,0.500662863,0,0.992500007,12/15/2016,350,Autumn,Quarter End
Professor Choi was very nice. He has so much knowledge. His lectures are amazing and he posts all the lectures on the class website so you don't have to bother taking notes in class and listen instead. He grades super easy  which is nice because his exams are also super hard. Overall a great teacher. I would take his class again,0,0.984017045,0,0.538290441,0,0.500324547,0,0.99297148,6/15/2015,166,Spring,Quarter End
"It could be that our class was below the average standards of the EE program, but according to him our class was ""the worst class he has ever had and the only class he has ever had to curve"".  He is by all means the best of the best in teaching and explaining things, but grading is very tough.  Take him if you are looking for a challenge.",0,0.989193268,0,0.538290739,0,0.500957549,0,0.991884828,8/10/2014,222,Summer,Quarter End
This class was extremely difficult.,1,0.962891478,0,0.538291335,0,0.49982518,0,0.992396772,6/18/2014,169,Summer,Quarter Beginning
"For how much he emphasized inclusion, he treated me and many others poorly. I dont know why. I did the assignments, came to class on time, but he felt the need to single me out. I have nothing, but resentment towards him.",0,0.982020096,0,0.538291097,0,0.5011096,0,0.989069939,3/20/2018,79,Winter,Quarter End
The DFL is more like a start up than a class but I learned more in the year I was there than other classes. It was hard to find time to get my work done but I'm glad I stayed and worked on Ghostlight Manor!,1,0.968549178,0,0.538290501,0,0.498427749,0,0.993257642,3/18/2018,77,Winter,Quarter End
My favorite prof at UWB and the reason I decided to be an interactive media design major.,1,0.953441463,0,0.538289785,0,0.498978257,0,0.992946923,6/22/2017,173,Summer,Quarter Beginning
I did my senior research project in Jason's lab and he was my favorite prof at UWB. I don't think there's anywhere else on campus where you can work on projects with people from so many different majors.,0,0.986500921,0,0.538289666,0,0.497996002,0,0.992865443,6/15/2017,166,Spring,Quarter End
Jason has vast knowledge about design and always allowed me to redo work. I feel like his expectations for undergraduates can sometimes be too high and the critiques can be harsh but they're constructive.,0,0.979033273,0,0.538290501,0,0.499856323,0,0.993354797,6/1/2017,152,Spring,Quarter End
Jason was the most relevant professor I had this year. He was extremely flexible with my work schedule and accepted late work until the very end of the quarter.,0,0.991439245,0,0.538290739,0,0.498966455,0,0.992845595,5/25/2017,145,Spring,Quarter End
Great class!,1,0.946933067,0,0.538289309,0,0.498159885,0,0.993025422,4/21/2017,111,Spring,Quarter Beginning
Jason said  he was bad at following a syllabus and ummmm lol yeah but we had interesting projects to do that focused on different parts of a designers job. This was the first class I took where it felt like I learned about what it means to be a designer.,0,0.99014703,0,0.538290918,0,0.498777986,0,0.993091106,2/11/2017,42,Winter,Midterm
"There were multiple occasions where he was extremely late, or wouldn't show up for class. Whenever he did teach, it wasn't anything practical nor was it well executed.",0,0.978868005,0,0.538291335,0,0.499241322,0,0.992484987,1/30/2017,30,Winter,Midterm
Jason is a great instructor. He has a wealth of knowledge to offer and his classes feel more like you're getting to chill while learning from an industry insider. He offers extremely helpful critiques of your work and cares about the progression of his students' skills and knowledge. Looking forward to taking his classes in the future.,0,0.994808093,0,0.538291156,0,0.49895981,0,0.993309736,3/22/2015,81,Winter,Quarter End
"He barely goes over topics & expects you to master it on your own for the exam. Exams are unpredictable. He tends to get frustrated if you ask questions or do not understand, making him unapproachable at times... Be prepared to read the book to fully master the material for the exam (even though he says you don't need to).",0,0.98237593,0,0.538295746,0,0.503691852,0,0.993097961,4/25/2019,115,Spring,Midterm
Great professor. Used lots of drawings to explain the concepts which helped a ton.,1,0.972405952,0,0.538288951,0,0.498810142,0,0.992815733,8/9/2018,221,Summer,Quarter End
"Dr. Depies brings humor to class and connects with student. I personally enjoy attending his lectures. Avoid cell phone usage and laptop (if you are taking notes, get his permission first). He doesn't like coming late to class. Work out lots of problems in book. Some clicker questions end up on tests.",0,0.98934728,0,0.538289666,0,0.499610603,0,0.993474543,11/21/2017,325,Autumn,Midterm
"Depies is one of the base profs I have had. Hes funny , always keeps class fun and really wants you to be engaged. His tests and homework is hard and takes a lot of work, but if you put in the effort it will reflect. Would recommend!",0,0.985937445,0,0.538295984,0,0.499632746,0,0.993360996,11/1/2017,305,Autumn,Quarter Beginning
Physics if freaking hard man.,1,0.872868121,0,0.538292646,1,0.578141391,1,0.482057095,11/13/2016,318,Autumn,Midterm
Dr. Depies is one of the best professors I have had. He makes Physics and interesting. His lectures are well done and he works through problems with you on the board. He is always encouraging students to come of office hours if he needs help. You definitely need to read the textbook on your own though because we fall a little behind in lecture.,0,0.990626121,0,0.538290977,0,0.500322938,0,0.993299723,11/1/2016,306,Autumn,Quarter Beginning
I was a big fan of Dr. Depies. His expectations for you to succeed are clear from the get go. I took this series of Physics as a senior and was ready to graduate with my degree but Depies made me want to do it all over and become a physics major.,0,0.993676314,0,0.538291216,0,0.497613311,0,0.993055284,3/20/2016,80,Winter,Quarter End
